INTERVAL_DATETIME,BIN_NAME,BIDVOLUME
2023-06-04 00:05:00,"[100, 200)",43.0
2023-06-04 00:05:00,"[200, 300)",32.0
2023-06-04 00:05:00,"[500, 1000)",96.0
2023-06-04 00:05:00,"[1000, 5000)",70.0
2023-06-04 00:05:00,"[10000, 16500)",197.0
2023-06-04 00:10:00,"[50, 100)",25.0
2023-06-04 00:10:00,"[200, 300)",20.0
2023-06-04 00:10:00,"[500, 1000)",96.0
2023-06-04 00:10:00,"[1000, 5000)",63.0
2023-06-04 00:10:00,"[10000, 16500)",227.0
2023-06-04 00:15:00,"[100, 200)",25.0
2023-06-04 00:15:00,"[200, 300)",20.0
2023-06-04 00:15:00,"[500, 1000)",96.0
2023-06-04 00:15:00,"[1000, 5000)",52.0
2023-06-04 00:15:00,"[10000, 16500)",227.0
2023-06-04 00:20:00,"[0, 50)",5.0
2023-06-04 00:20:00,"[50, 100)",16.0
2023-06-04 00:20:00,"[100, 200)",20.0
2023-06-04 00:20:00,"[200, 300)",0.0
2023-06-04 00:20:00,"[500, 1000)",91.0
2023-06-04 00:20:00,"[1000, 5000)",56.0
2023-06-04 00:20:00,"[10000, 16500)",227.0
2023-06-04 00:25:00,"[50, 100)",15.0
2023-06-04 00:25:00,"[100, 200)",20.0
2023-06-04 00:25:00,"[200, 300)",0.0
2023-06-04 00:25:00,"[500, 1000)",96.0
2023-06-04 00:25:00,"[1000, 5000)",70.0
2023-06-04 00:25:00,"[10000, 16500)",227.0
2023-06-04 00:30:00,"[0, 50)",6.0
2023-06-04 00:30:00,"[100, 200)",34.0
2023-06-04 00:30:00,"[200, 300)",30.0
2023-06-04 00:30:00,"[500, 1000)",90.0
2023-06-04 00:30:00,"[1000, 5000)",105.0
2023-06-04 00:30:00,"[10000, 16500)",197.0
2023-06-04 00:35:00,"[0, 50)",30.0
2023-06-04 00:35:00,"[100, 200)",34.0
2023-06-04 00:35:00,"[200, 300)",0.0
2023-06-04 00:35:00,"[500, 1000)",96.0
2023-06-04 00:35:00,"[1000, 5000)",105.0
2023-06-04 00:35:00,"[10000, 16500)",197.0
2023-06-04 00:40:00,"[0, 50)",30.0
2023-06-04 00:40:00,"[100, 200)",31.0
2023-06-04 00:40:00,"[200, 300)",0.0
2023-06-04 00:40:00,"[500, 1000)",96.0
2023-06-04 00:40:00,"[1000, 5000)",105.0
2023-06-04 00:40:00,"[10000, 16500)",197.0
2023-06-04 00:45:00,"[0, 50)",13.0
2023-06-04 00:45:00,"[200, 300)",50.0
2023-06-04 00:45:00,"[500, 1000)",96.0
2023-06-04 00:45:00,"[1000, 5000)",105.0
2023-06-04 00:45:00,"[10000, 16500)",191.0
2023-06-04 00:50:00,"[200, 300)",50.0
2023-06-04 00:50:00,"[500, 1000)",96.0
2023-06-04 00:50:00,"[1000, 5000)",105.0
2023-06-04 00:50:00,"[10000, 16500)",204.0
2023-06-04 00:55:00,"[200, 300)",20.0
2023-06-04 00:55:00,"[500, 1000)",96.0
2023-06-04 00:55:00,"[1000, 5000)",105.0
2023-06-04 00:55:00,"[10000, 16500)",235.0
2023-06-04 01:00:00,"[0, 50)",30.0
2023-06-04 01:00:00,"[200, 300)",20.0
2023-06-04 01:00:00,"[500, 1000)",96.0
2023-06-04 01:00:00,"[1000, 5000)",105.0
2023-06-04 01:00:00,"[10000, 16500)",197.0
2023-06-04 01:05:00,"[0, 50)",30.0
2023-06-04 01:05:00,"[100, 200)",20.0
2023-06-04 01:05:00,"[200, 300)",30.0
2023-06-04 01:05:00,"[500, 1000)",96.0
2023-06-04 01:05:00,"[1000, 5000)",105.0
2023-06-04 01:05:00,"[10000, 16500)",178.0
2023-06-04 01:10:00,"[0, 50)",6.0
2023-06-04 01:10:00,"[50, 100)",14.0
2023-06-04 01:10:00,"[100, 200)",20.0
2023-06-04 01:10:00,"[200, 300)",30.0
2023-06-04 01:10:00,"[500, 1000)",96.0
2023-06-04 01:10:00,"[1000, 5000)",105.0
2023-06-04 01:10:00,"[10000, 16500)",191.0
2023-06-04 01:15:00,"[0, 50)",30.0
2023-06-04 01:15:00,"[100, 200)",45.0
2023-06-04 01:15:00,"[200, 300)",30.0
2023-06-04 01:15:00,"[500, 1000)",96.0
2023-06-04 01:15:00,"[1000, 5000)",105.0
2023-06-04 01:15:00,"[10000, 16500)",167.0
2023-06-04 01:20:00,"[0, 50)",6.0
2023-06-04 01:20:00,"[100, 200)",45.0
2023-06-04 01:20:00,"[200, 300)",30.0
2023-06-04 01:20:00,"[500, 1000)",96.0
2023-06-04 01:20:00,"[1000, 5000)",105.0
2023-06-04 01:20:00,"[10000, 16500)",191.0
2023-06-04 01:25:00,"[0, 50)",6.0
2023-06-04 01:25:00,"[100, 200)",45.0
2023-06-04 01:25:00,"[200, 300)",30.0
2023-06-04 01:25:00,"[500, 1000)",96.0
2023-06-04 01:25:00,"[1000, 5000)",105.0
2023-06-04 01:25:00,"[10000, 16500)",191.0
2023-06-04 01:30:00,"[0, 50)",55.0
2023-06-04 01:30:00,"[100, 200)",20.0
2023-06-04 01:30:00,"[200, 300)",0.0
2023-06-04 01:30:00,"[500, 1000)",96.0
2023-06-04 01:30:00,"[1000, 5000)",105.0
2023-06-04 01:30:00,"[10000, 16500)",197.0
2023-06-04 01:35:00,"[0, 50)",6.0
2023-06-04 01:35:00,"[100, 200)",20.0
2023-06-04 01:35:00,"[200, 300)",0.0
2023-06-04 01:35:00,"[500, 1000)",96.0
2023-06-04 01:35:00,"[1000, 5000)",105.0
2023-06-04 01:35:00,"[10000, 16500)",246.0
2023-06-04 01:40:00,"[0, 50)",6.0
2023-06-04 01:40:00,"[50, 100)",25.0
2023-06-04 01:40:00,"[100, 200)",20.0
2023-06-04 01:40:00,"[200, 300)",0.0
2023-06-04 01:40:00,"[500, 1000)",96.0
2023-06-04 01:40:00,"[1000, 5000)",105.0
2023-06-04 01:40:00,"[10000, 16500)",221.0
2023-06-04 01:45:00,"[0, 50)",6.0
2023-06-04 01:45:00,"[50, 100)",25.0
2023-06-04 01:45:00,"[100, 200)",20.0
2023-06-04 01:45:00,"[200, 300)",30.0
2023-06-04 01:45:00,"[500, 1000)",96.0
2023-06-04 01:45:00,"[1000, 5000)",105.0
2023-06-04 01:45:00,"[10000, 16500)",191.0
2023-06-04 01:50:00,"[0, 50)",31.0
2023-06-04 01:50:00,"[100, 200)",20.0
2023-06-04 01:50:00,"[200, 300)",0.0
2023-06-04 01:50:00,"[500, 1000)",96.0
2023-06-04 01:50:00,"[1000, 5000)",105.0
2023-06-04 01:50:00,"[10000, 16500)",221.0
2023-06-04 01:55:00,"[0, 50)",6.0
2023-06-04 01:55:00,"[50, 100)",25.0
2023-06-04 01:55:00,"[100, 200)",20.0
2023-06-04 01:55:00,"[200, 300)",30.0
2023-06-04 01:55:00,"[500, 1000)",96.0
2023-06-04 01:55:00,"[1000, 5000)",105.0
2023-06-04 01:55:00,"[10000, 16500)",191.0
2023-06-04 02:00:00,"[0, 50)",6.0
2023-06-04 02:00:00,"[100, 200)",20.0
2023-06-04 02:00:00,"[200, 300)",0.0
2023-06-04 02:00:00,"[500, 1000)",96.0
2023-06-04 02:00:00,"[1000, 5000)",105.0
2023-06-04 02:00:00,"[10000, 16500)",246.0
2023-06-04 02:05:00,"[0, 50)",6.0
2023-06-04 02:05:00,"[50, 100)",25.0
2023-06-04 02:05:00,"[100, 200)",20.0
2023-06-04 02:05:00,"[200, 300)",30.0
2023-06-04 02:05:00,"[500, 1000)",96.0
2023-06-04 02:05:00,"[1000, 5000)",105.0
2023-06-04 02:05:00,"[10000, 16500)",191.0
2023-06-04 02:10:00,"[0, 50)",42.0
2023-06-04 02:10:00,"[100, 200)",45.0
2023-06-04 02:10:00,"[200, 300)",0.0
2023-06-04 02:10:00,"[500, 1000)",96.0
2023-06-04 02:10:00,"[1000, 5000)",105.0
2023-06-04 02:10:00,"[10000, 16500)",185.0
2023-06-04 02:15:00,"[0, 50)",108.0
2023-06-04 02:15:00,"[50, 100)",25.0
2023-06-04 02:15:00,"[200, 300)",0.0
2023-06-04 02:15:00,"[500, 1000)",8.0
2023-06-04 02:15:00,"[1000, 5000)",105.0
2023-06-04 02:15:00,"[10000, 16500)",227.0
2023-06-04 02:20:00,"[0, 50)",49.0
2023-06-04 02:20:00,"[50, 100)",30.0
2023-06-04 02:20:00,"[100, 200)",20.0
2023-06-04 02:20:00,"[200, 300)",0.0
2023-06-04 02:20:00,"[500, 1000)",96.0
2023-06-04 02:20:00,"[1000, 5000)",105.0
2023-06-04 02:20:00,"[10000, 16500)",173.0
2023-06-04 02:25:00,"[50, 100)",25.0
2023-06-04 02:25:00,"[100, 200)",20.0
2023-06-04 02:25:00,"[200, 300)",0.0
2023-06-04 02:25:00,"[500, 1000)",96.0
2023-06-04 02:25:00,"[1000, 5000)",105.0
2023-06-04 02:25:00,"[10000, 16500)",227.0
2023-06-04 02:30:00,"[50, 100)",17.0
2023-06-04 02:30:00,"[100, 200)",20.0
2023-06-04 02:30:00,"[200, 300)",0.0
2023-06-04 02:30:00,"[500, 1000)",96.0
2023-06-04 02:30:00,"[1000, 5000)",105.0
2023-06-04 02:30:00,"[10000, 16500)",227.0
2023-06-04 02:35:00,"[0, 50)",12.0
2023-06-04 02:35:00,"[100, 200)",20.0
2023-06-04 02:35:00,"[200, 300)",0.0
2023-06-04 02:35:00,"[500, 1000)",96.0
2023-06-04 02:35:00,"[1000, 5000)",105.0
2023-06-04 02:35:00,"[10000, 16500)",227.0
2023-06-04 02:40:00,"[0, 50)",20.0
2023-06-04 02:40:00,"[50, 100)",30.0
2023-06-04 02:40:00,"[100, 200)",20.0
2023-06-04 02:40:00,"[200, 300)",0.0
2023-06-04 02:40:00,"[500, 1000)",96.0
2023-06-04 02:40:00,"[1000, 5000)",105.0
2023-06-04 02:40:00,"[10000, 16500)",197.0
2023-06-04 02:45:00,"[0, 50)",6.0
2023-06-04 02:45:00,"[100, 200)",20.0
2023-06-04 02:45:00,"[200, 300)",0.0
2023-06-04 02:45:00,"[500, 1000)",96.0
2023-06-04 02:45:00,"[1000, 5000)",105.0
2023-06-04 02:45:00,"[10000, 16500)",246.0
2023-06-04 02:50:00,"[50, 100)",30.0
2023-06-04 02:50:00,"[100, 200)",45.0
2023-06-04 02:50:00,"[200, 300)",0.0
2023-06-04 02:50:00,"[500, 1000)",96.0
2023-06-04 02:50:00,"[1000, 5000)",105.0
2023-06-04 02:50:00,"[10000, 16500)",197.0
2023-06-04 02:55:00,"[50, 100)",25.0
2023-06-04 02:55:00,"[100, 200)",20.0
2023-06-04 02:55:00,"[200, 300)",0.0
2023-06-04 02:55:00,"[500, 1000)",96.0
2023-06-04 02:55:00,"[1000, 5000)",105.0
2023-06-04 02:55:00,"[10000, 16500)",227.0
2023-06-04 03:00:00,"[50, 100)",55.0
2023-06-04 03:00:00,"[100, 200)",20.0
2023-06-04 03:00:00,"[200, 300)",0.0
2023-06-04 03:00:00,"[500, 1000)",96.0
2023-06-04 03:00:00,"[1000, 5000)",105.0
2023-06-04 03:00:00,"[10000, 16500)",197.0
2023-06-04 03:05:00,"[50, 100)",25.0
2023-06-04 03:05:00,"[100, 200)",21.0
2023-06-04 03:05:00,"[200, 300)",0.0
2023-06-04 03:05:00,"[500, 1000)",96.0
2023-06-04 03:05:00,"[1000, 5000)",105.0
2023-06-04 03:05:00,"[10000, 16500)",227.0
2023-06-04 03:10:00,"[50, 100)",26.0
2023-06-04 03:10:00,"[100, 200)",20.0
